customer_key,unit_id,address,city,state_code,zip_code,type,lease_terms,move_in_date,move_out_date
1,bm-3719,123 Buell Drive,Los Angeles,CA,90045,Resident,1,10/17/2017,10/17/2018
2,ar-4891,6 Tennyson Park,San Diego,CA,92127,Resident,3,7/24/2011,7/24/2014
3,xm-4443,00590 Hagan Trail,San Jose,CA,95155,Resident,2,4/25/2020,4/25/2022
4,ay-6355,43145 Claremont Alley,San Diego,CA,92191,Resident,1,11/2/2010,11/2/2011
5,cf-2505,7491 Sloan Crossing,Los Angeles,CA,90015,Resident,3,10/7/2019,10/7/2022
6,sr-7430,3 Scoville Alley,Moreno Valley,CA,92555,Resident,2,3/1/2016,3/1/2018
7,um-7913,40205 Meadow Vale Terrace,Berkeley,CA,94705,Resident,2,10/6/2011,10/6/2013
8,uk-5445,6333 Continental Point,Fresno,CA,93721,Resident,2,7/18/2019,7/18/2021
9,ca-9184,3 Declaration Drive,Oakland,CA,94605,Resident,2,2/10/2017,2/10/2019
10,qt-5087,46751 Manley Center,Sacramento,CA,94280,Resident,3,3/30/2013,3/30/2016
11,oq-0954,35499 Lien Drive,Columbus,GA,31904,Resident,1,6/13/2014,6/13/2015
12,fe-9436,80523 Eastwood Crossing,Valdosta,GA,31605,Resident,1,11/9/2012,11/9/2013
13,ka-2688,442 Karstens Parkway,Sacramento,CA,94291,Resident,2,6/27/2015,6/27/2017
14,dc-4875,79037 Myrtle Parkway,Sacramento,CA,95838,Resident,3,9/17/2016,9/17/2019
15,xq-0943,669 4th Way,San Diego,CA,92170,Resident,1,7/28/2011,7/28/2012
16,ko-0923,199 4th Drive,Inglewood,CA,90310,Resident,3,9/9/2020,9/9/2023
17,ng-8315,46739 Farragut Crossing,Chico,CA,95973,Resident,2,9/23/2018,9/23/2020
18,zj-5004,2388 Cascade Circle,Atlanta,GA,30328,Resident,2,11/6/2014,11/6/2016
19,cm-9580,9876 Bultman Court,Sacramento,CA,94257,Resident,3,9/6/2020,9/6/2023
20,aj-6782,5 Walton Lane,Boston,MA,2109,Resident,1,7/8/2019,7/8/2020
21,me-3715,6767 Center Street,Sacramento,CA,95894,Resident,1,7/9/2019,7/9/2020
22,jd-8317,925 Oxford Center,Oxnard,CA,93034,Resident,1,3/5/2013,3/5/2014
23,go-7139,29303 Loeprich Park,San Diego,CA,92160,Resident,1,6/20/2018,6/20/2019
24,uo-7519,83 Del Sol Parkway,San Francisco,CA,94169,Resident,2,10/31/2015,10/31/2017
25,lv-3336,423 Florence Circle,Atlanta,GA,30380,Resident,2,3/25/2013,3/25/2015
26,ra-2098,970 Lotheville Court,Sacramento,CA,94245,Resident,1,10/1/2012,10/1/2013
27,yf-2890,5 Rigney Circle,Macon,GA,31296,Resident,2,1/15/2016,1/15/2018
28,ue-4261,9956 Dwight Plaza,Duluth,GA,30195,Resident,1,5/31/2021,5/31/2022
29,qp-2676,018 International Center,San Diego,CA,92132,Resident,3,8/20/2016,8/20/2019
30,bb-5607,206 Lindbergh Park,Pasadena,CA,91117,Resident,3,6/20/2012,6/20/2015
31,xg-5521,024 Vahlen Road,San Jose,CA,95133,Resident,1,12/25/2016,12/25/2017
32,lm-5176,1659 Ramsey Center,Pasadena,CA,91109,Resident,2,3/31/2017,3/31/2019
33,qu-5435,4684 Kennedy Parkway,Stockton,CA,95298,Resident,1,9/21/2011,9/21/2012
34,ur-9647,7481 Fremont Street,San Rafael,CA,94913,Resident,2,2/13/2016,2/13/2018
35,ia-4579,801 Hoffman Trail,San Jose,CA,95108,Resident,1,11/12/2019,11/12/2020
36,yr-2522,24 Hoffman Plaza,Torrance,CA,90510,Resident,3,3/13/2018,3/13/2021
37,sf-8355,3 Blackbird Place,Santa Cruz,CA,95064,Resident,1,2/23/2016,2/23/2017
38,ea-9154,4129 Erie Pass,Savannah,GA,31405,Resident,1,10/1/2017,10/1/2018
39,xm-2377,78964 Warrior Trail,Garden Grove,CA,92645,Resident,3,2/11/2018,2/11/2021
40,io-5152,4 Rowland Parkway,Marietta,GA,30066,Resident,1,12/11/2020,12/11/2021
41,tb-6980,85 Red Cloud Park,Fresno,CA,93778,Resident,2,1/22/2015,1/22/2017
42,db-0011,88 American Ash Street,San Diego,CA,92145,Resident,3,1/9/2012,1/9/2015
43,uw-3136,1581 Starling Point,Burbank,CA,91520,Resident,2,5/20/2018,5/20/2020
44,ug-1472,72 Eliot Avenue,Oakland,CA,94627,Resident,3,10/9/2012,10/9/2015
45,ac-6437,2675 Sachtjen Junction,Long Beach,CA,90831,Resident,1,8/1/2016,8/1/2017
46,ou-9540,4134 Sheridan Lane,Cambridge,MA,2142,Resident,2,7/24/2018,7/24/2020
47,pw-6459,9810 Daystar Way,Savannah,GA,31405,Resident,3,10/7/2011,10/7/2014
48,zf-4104,4 Donald Way,Springfield,MA,1152,Resident,1,8/25/2010,8/25/2011
49,pj-1435,41 Laurel Alley,Santa Monica,CA,90410,Resident,1,9/21/2020,9/21/2021
50,oh-7810,23132 Maple Wood Plaza,Cambridge,MA,2142,Resident,1,10/12/2017,10/12/2018
51,fd-8735,93089 Ryan Way,Lancaster,CA,93584,Resident,3,8/31/2015,8/31/2018
52,ma-8689,91242 Sloan Alley,Columbus,GA,31914,Resident,1,1/25/2011,1/25/2012
53,pd-9995,0648 Mayer Way,Santa Rosa,CA,95405,Resident,1,11/26/2015,11/26/2016
54,jx-1970,4330 Roxbury Crossing,Los Angeles,CA,90035,Resident,1,11/27/2016,11/27/2017
55,yd-7308,76611 Rockefeller Center,San Francisco,CA,94142,Resident,3,6/23/2021,6/23/2024
56,lb-3679,39 Kropf Way,Atlanta,GA,31165,Resident,2,3/18/2020,3/18/2022
57,fo-2299,04 Colorado Plaza,Los Angeles,CA,90189,Resident,1,5/26/2019,5/26/2020
58,en-5183,1771 Mosinee Street,San Francisco,CA,94132,Resident,1,1/15/2014,1/15/2015
59,nx-8830,39 Spaight Road,Fresno,CA,93778,Resident,1,9/30/2020,9/30/2021
60,oo-0201,7638 Birchwood Circle,Boston,MA,2298,Resident,3,10/22/2016,10/22/2019
61,jn-9746,04856 Veith Pass,Albany,GA,31704,Resident,3,1/13/2017,1/13/2020
62,ze-3505,87 Grover Avenue,Irvine,CA,92612,Resident,2,10/19/2015,10/19/2017
63,oc-6536,33 Anhalt Parkway,San Francisco,CA,94142,Resident,1,4/19/2013,4/19/2014
64,xf-4374,23 Pawling Lane,Pasadena,CA,91109,Resident,1,4/25/2011,4/25/2012
65,xk-7791,170 Kedzie Terrace,Atlanta,GA,30316,Resident,1,11/10/2010,11/10/2011
66,hi-9090,8845 Memorial Plaza,Simi Valley,CA,93094,Resident,3,4/28/2011,4/28/2014
67,ya-6361,593 6th Hill,Long Beach,CA,90840,Resident,2,2/14/2020,2/14/2022
68,aq-7855,594 Express Circle,San Francisco,CA,94177,Resident,2,5/18/2018,5/18/2020
69,nq-2822,35 Scott Pass,Atlanta,GA,31132,Resident,2,5/2/2017,5/2/2019
70,gp-3579,10220 Atwood Avenue,Los Angeles,CA,90060,Resident,3,1/10/2011,1/10/2014
71,to-1986,8 Bowman Terrace,Los Angeles,CA,90087,Resident,2,11/3/2015,11/3/2017
72,tf-2848,45971 Fulton Avenue,Pasadena,CA,91117,Resident,3,12/17/2010,12/17/2013
73,dt-4003,05 Marquette Circle,San Diego,CA,92132,Resident,1,7/1/2019,7/1/2020
74,ju-7234,82 Chive Drive,Glendale,CA,91205,Resident,1,7/25/2019,7/25/2020
75,kh-6650,33 Browning Way,Gainesville,GA,30506,Resident,1,10/19/2020,10/19/2021
76,lm-3274,363 Corben Court,San Jose,CA,95113,Resident,2,7/3/2015,7/3/2017
77,vl-0349,797 Crest Line Parkway,Whittier,CA,90610,Resident,1,8/7/2011,8/7/2012
78,et-5351,6 Heffernan Crossing,Torrance,CA,90505,Resident,2,8/7/2014,8/7/2016
79,xz-6724,2442 Truax Court,Atlanta,GA,30380,Resident,2,8/1/2019,8/1/2021
80,uq-4343,355 Scofield Avenue,San Jose,CA,95160,Resident,2,8/8/2012,8/8/2014
81,ep-0976,393 Ridge Oak Crossing,San Francisco,CA,94132,Resident,1,8/21/2010,8/21/2011
82,lt-1605,48060 Carpenter Pass,San Jose,CA,95138,Resident,2,4/29/2020,4/29/2022
83,ms-3037,5244 Bartelt Alley,Sacramento,CA,94257,Resident,1,4/26/2017,4/26/2018
84,kb-7221,7916 Springs Plaza,Atlanta,GA,30368,Resident,3,7/21/2015,7/21/2018
85,od-9458,97 Nevada Hill,Atlanta,GA,31132,Resident,2,1/27/2020,1/27/2022
86,io-4550,2228 Oak Hill,Moreno Valley,CA,92555,Resident,3,1/4/2016,1/4/2019
87,ti-6802,540 Autumn Leaf Alley,San Bernardino,CA,92424,Resident,3,1/4/2010,1/4/2013
88,yh-2542,571 Miller Trail,Fresno,CA,93778,Resident,3,11/23/2015,11/23/2018
89,gb-1723,9992 Service Trail,Fresno,CA,93794,Resident,1,3/7/2010,3/7/2011
90,ip-0611,1 Katie Terrace,Sacramento,CA,94230,Resident,1,1/18/2015,1/18/2016
91,nf-7908,2 Hintze Plaza,Salinas,CA,93907,Resident,1,10/27/2011,10/27/2012
92,fx-5563,8 Kipling Place,Atlanta,GA,31106,Resident,2,3/3/2020,3/3/2022
93,qa-6446,51061 Sunnyside Street,Atlanta,GA,30392,Resident,3,6/13/2016,6/13/2019
94,eo-6154,066 Dwight Avenue,Sacramento,CA,94273,Resident,1,6/3/2016,6/3/2017
95,qv-9077,43 Loftsgordon Pass,Los Angeles,CA,90050,Resident,3,4/27/2016,4/27/2019
96,mw-1092,473 Menomonie Way,Boston,MA,2208,Resident,1,1/17/2019,1/17/2020
97,vi-4355,7269 Eliot Lane,San Francisco,CA,94159,Resident,2,4/14/2016,4/14/2018
98,rw-9577,87 Mayfield Pass,San Francisco,CA,94126,Resident,3,10/14/2016,10/14/2019
99,oe-4674,9 Burrows Pass,Macon,GA,31210,Resident,3,8/22/2010,8/22/2013
100,fm-5922,5700 Delaware Hill,Glendale,CA,91205,Resident,2,3/22/2010,3/22/2012
101,mf-0639,96 Dahle Street,Boston,MA,2283,Resident,2,2/1/2019,2/1/2021
102,gn-3444,4 Little Fleur Court,Los Angeles,CA,90030,Resident,1,9/7/2017,9/7/2018
103,xv-0747,6524 Emmet Terrace,Springfield,MA,1114,Resident,2,4/2/2012,4/2/2014
104,ye-5783,407 7th Street,Decatur,GA,30033,Resident,1,3/16/2015,3/16/2016
105,ob-7845,4892 Leroy Hill,Fresno,CA,93709,Resident,3,12/20/2014,12/20/2017
106,yz-8142,4585 Dennis Junction,Atlanta,GA,30343,Resident,3,1/17/2015,1/17/2018
107,pa-6095,86 Thackeray Alley,San Rafael,CA,94913,Resident,2,3/18/2021,3/18/2023
108,wy-3660,12928 Surrey Way,San Rafael,CA,94913,Resident,3,4/2/2015,4/2/2018
109,uj-3870,28887 Morrow Center,Atlanta,GA,30358,Resident,3,2/18/2013,2/18/2016
110,rp-7115,745 Eliot Avenue,Augusta,GA,30919,Resident,3,7/17/2018,7/17/2021
111,az-2504,82183 Summerview Place,Fresno,CA,93704,Resident,2,9/26/2015,9/26/2017
112,al-4564,7405 Del Mar Place,Sacramento,CA,94291,Resident,1,10/24/2011,10/24/2012
